offset,eng_size,he_size,special_char,text_en,text_he
0x150BF,11,,,Quit (Y/N)?,לצאת (y/n)?
0x150CC,17,,0x0A,Quit to (D)os or%s,לצאת ל (d)os או%s
0x150DE,8,,,(T)itle:,(t)כותר:
0x150F5,12,,,Sound (Y/N)?,צליל (y/n)?
0x15102,22,,0x0A,You are now cheating!%s,אתה עכשיו מרמה!%s
0x15119,27,,0x0A,"You just got a pogo stick,%s","הרגע השגת מוט קפיצה,%s"
0x15135,23,,0x0A,"all the key cards, and%s",כל המפתחות וגם המון%s
0x1514D,24,,,lots of ray gun charges.,טעינות של רובה לייזר.
0x15166,29,,0x0A,SCORE     EXTRA KEEN AT %s,ניקוד     קין נוסף ב %s
0x15187,29,,0x0A,KEENS       SHIP PARTS  %s,קינים       חלקי ספינה  %s
0x151AE,29,,0x0A,RAYGUN   POGO    KEYCARDS  %s,רובה לייזר  מוט קפיץ  מפתחות%s
0x151DB,9,,,CHARGE  ,טעינה  
0x151ED,28,,,PLEASE PRESS A KEY     ,נא ללחוץ על מקש     
0x1520A,16,,,God mode enabled,מצב שמימי מופעל
0x1521B,17,,,God mode disabled,מצב שמימי כבוי
0x15260,17,,,Joystick detected,ג'ויסטיק זוהה
0x15299,17,,,EGA card detected,כרטיס ega זוהה
0x152AB,17,,,VGA card detected,כרטיס vga זוהה
0x152BD,74,,,"Hey, I don't see an EGA or VGA card here!  Do you want to run the program ","היי, אני לא רואה כאן כרטיס ega או vga! האם אתה רוצה להריץ את התוכנית "
0x15308,40,,,"anyway (Y = go ahead, N = quit to dos) ?","מכל מקרה (y = להמשיך, n = לצאת ל-dos) ?"
0x1535A,21,,0x0A,mind:               %s,בראשך:             %s
0x15386,21,,0x0A,It is too bad that  %s,זה חבל שאתה%s
0x1539C,21,,0x0A,you cannot read the %s,לא יכול לקרוא %s
0x153B2,21,,0x0A,Standard Galactic   %s,את השפה הגלקטית %s
0x153C8,21,,0x0A,"Alphabet, human.    %s",אדם-אלפבתי.   %s
0x153DE,21,,0x0A,A message echoes in %s,הודעה מהדהדת%s
0x153F4,21,,0x0A,your head:          %s,בראשך:        %s
0x15420,21,,0x0A,The teleporter in   %s,המשגר באזור%s
0x15436,21,,0x0A,the ice will send   %s,הקרח ישלח את %s
0x1544C,21,,0x0A,you to the dark side%s,אותך לצד האפל%s
0x15462,21,,0x0A,of Mars.            %s,של מאדים.           %s
0x15478,21,,0x0A,A voice buzzes in   %s,קול מהדהד%s
0x1548E,21,,0x0A,your mind:          %s,במוחך:          %s
0x154BA,21,,0x0A,There is a hidden   %s,יש עיר נסתרת %s
0x154D0,21,,0x0A,city. Look in the   %s,חפש אותה%s
0x154E6,21,,0x0A,dark area of the    %s,באזור החשוך של%s
0x154FC,21,,0x0A,city to the south.  %s,הדרומי של העיר. %s
0x15512,21,,0x0A,You see these words %s,אתה רואה מילים %s
0x15528,21,,0x0A,in your head:       %s,אלה בראשך:       %s
0x15554,21,,0x0A,You will need a     %s,תזדקק לרובה  %s
0x1556A,21,,0x0A,"raygun in the end,  %s","לייזר בסוף,  %s"
0x15580,21,,0x0A,but not to shoot the%s,אבל אל תירה %s
0x15596,21,,0x0A,Vorticon...         %s,בורטיקון...         %s
0x155AC,21,,0x0A,You hear in your    %s,אתה שומע%s
0x155C2,21,,0x0A,mind:               %s,במוחך:              %s
0x155EE,21,,0x0A,GAAARRRRRGG!       %s,גארררררר!       %s
0x15604,21,,0x0A,A Yorpish whisper   %s,לחש יורפי   %s
0x1561A,21,,0x0A,says:               %s,אומר:               %s
0x15646,22,,0x0A,"Look for dark, hidden%s",חפש בחושך לבנים %s
0x1565D,21,,0x0A,bricks. You can see %s,נסתרות. את יכול%s
0x15673,21,,0x0A,naught but their    %s,לראות רק את הפונה%s
0x1586D,26,,0x0A 0x0D,Joystick Configuration%s%s,תצורת ג'ויסטיק%s%s
0x15888,26,,0x0A 0x0D,----------------------%s%s,----------------------%s%s
0x158A3,26,,0x0A 0x0D,Hold the joystick in the%s%s,החזק את הג'ויסטיק%s%s
0x158BE,12,,0x0A 0x0D,upper left%s%s,מעלה-שמאל%s%s
0x158CB,26,,,corner and press button 1:,CORNER AND PRESS BUTTON 1:
0x158E6,29,,0x0A 0x0A 0x0D 0x0A 0x0D,%s%s%sHold the joystick in the%s%s,החזק את הג'ויסטיק ב%s%s
0x15904,13,,0x0A 0x0D,lower right%s%s,מטה-ימין%s%s
0x15912,26,,,corner and press button 1:,ולחץ על כפתור 1:
0x1592D,3,,,ESC,ESC
0x15931,4,,,BKSP,BKSP
0x15936,3,,,TAB,TAB
0x1593A,4,,,CTRL,CTRL
0x1593F,6,,,LSHIFT,LSHIFT
0x15946,5,,,SPACE,SPACE
0x1594C,6,,,CAPSLK,CAPSLK
0x15953,1,,,F,F
0x15955,3,,,F11,F11
0x15959,3,,,F12,F12
0x1595D,6,,,SCRLLK,SCRLLK
0x15964,5,,,ENTER,ENTER
0x1596A,6,,,RSHIFT,RSHIFT
0x15971,5,,,PRTSC,PRTSC
0x15977,3,,,ALT,ALT
0x1597B,4,,,HOME,HOME
0x15980,4,,,PGUP,PGUP
0x15985,3,,,END,END
0x15989,4,,,PGDN,PGDN
0x1598E,3,,,INS,INS
0x15992,3,,,DEL,DEL
0x15996,5,,,NUMLK,NUMLK
0x1599C,18,,0x0A,Keyboard Commands%s,פקודות מקלדת%s
0x159C1,13,,0x0A,%s0 north    :,%s0 צפונה    :
0x159CF,13,,0x0A,%s1 northeast:,%s1 צפון-מזרח:
0x159DD,13,,0x0A,%s2 east     :,%s2 מזרח     :
0x159EB,13,,0x0A,%s3 southeast:,%s3 דרום-מזרח:
0x159F9,13,,0x0A,%s4 south    :,%s4 דרום    :
0x15A07,13,,0x0A,%s5 southwest:,%s5 דרום-מערב:
0x15A15,13,,0x0A,%s6 west     :,%s6 מערב     :
0x15A23,13,,0x0A,%s7 northwest:,%s7 צפון-מערב:
0x15A31,13,,0x0A,%s8 button1  :,%s8 כפתור1  :
0x15A3F,13,,0x0A,%s9 button2  :,%s9 כפתור2  :
0x15A4D,21,,0x0A,%sModify which action:,%sשנה איזו פעולה:
0x15A63,20,,0x0A 0x0D,%s%sPress the new key:,%s%sלחץ על המקש החדש:
0x15A95,4,,,DEMO,דמו
0x15A9C,4,,,DEMO,דמו
0x15DCA,7,,,SCORES.,ניקוד.
0x15DD7,5,,,first,ראשון
0x15DDE,6,,,second,שני
0x15DE5,5,,,third,שלישי
0x15DEC,6,,,fourth,רביעי
0x15DF3,5,,,fifth,חמישי
0x15DFA,5,,,sixth,שישי
0x15E01,4,,,last,סופי
0x15E08,7,,,SAVED?.,לשמור?.
0x15E15,7,,,SAVED?.,לשמור?.
0x15E36,39,,0x0A,DISK ERROR!  I am having some problems%s,DISK ERROR!  I AM HAVING SOME PROBLEMS%s
0x15E5E,39,,0x0A,accessing the disk drive. Put the disk%s,ACCESSING THE DISK DRIVE. PUT THE DISK%s
0x15E86,38,,0x0A,back in (if it's out) and press a key%s,BACK IN (IF IT'S OUT) AND PRESS A KEY%s
0x15EAD,26,,,"to retry, or ESC to abort:","TO RETRY, OR ESC TO ABORT:"
0x15EC8,39,,0x0A,DISK ERROR!  I am having some problems%s,DISK ERROR!  I AM HAVING SOME PROBLEMS%s
0x15EF0,26,,0x0A,accessing the disk drive.%s,ACCESSING THE DISK DRIVE.%s
0x15F0B,10,,0x0A,Aborting.%s,ABORTING.%s
0x15F17,36,,0x0A,Commander Keen returns to the Bean-%s,המפקד קין חוזר למגה-טיל-%s
0x15F3C,34,,0x0A,with-Bacon Megarocket and quickly%s,השעועית עם נקניק שלו ומיד%s
0x15F5F,36,,0x0A,replaces the missing parts. He must%s,מתקין את החלקים החסרים. הוא חייב%s
0x15F84,32,,0x0A,get home before his parents do!%s,לחזור הביתה לפני שהוריו מגיעים!%s
0x15FB0,23,,0x0A,Keen makes it home and%s,קין מגיע הביתה ומיד%s
0x15FC8,19,,0x0A,rushes to beat his%s,וממהר להקדים את%s
0x15FDC,17,,,parents upstairs.,ההורים שלו למעלה.
0x15FEE,20,,0x0A,"Shhh, honey...let's%s","ששש, יקירי...בוא%s"
0x16003,20,,0x0A,see if little Billy%s,נראה אם בילי הקטן%s
0x16018,10,,,is asleep.,ישן.
0x16023,22,,0x0A,Billy...? Are you a--%s,בילי? האם אתה--%s
0x1603A,22,,0x0A,WHAT IS THIS ONE-EYED%s,מה הדבר הירוק הזה%s
0x16051,20,,0x0A,GREEN THING IN YOUR%s,עם עין אחת%s
0x16066,12,,0x0A,ROOM!!!!???%s,בחדר!!!???%s
0x16073,17,,0x0A,"Aw, Mom, can't I%s",אמא הוא יכול%s
0x16085,9,,,keep him?,להשאר פה?
0x1608F,23,,0x0A,"Well, we'll talk about%s","ובכן, נדבר על%s"
0x160A7,21,,0x0A,"that in the morning,%s","זה בבוקר,%s"
0x160BD,23,,,son. You get some rest.,בן. לך לנוח.
0x160D5,19,,,"OK, Mom. Goodnight.","בסדר אמא. לילה טוב."
0x160E9,16,,,"Goodnight, dear.","לילה טוב, יקירי."
0x160FA,22,,0x0A,But there is no sleep%s,אבל אין שינה%s
0x16111,24,,0x0A,for Commander Keen! The%s,למפקד קין!%s
0x1612A,20,,0x0A,Vorticon Mothership%s,הספינה הוורטיקונית%s
0x1613F,22,,0x0A,"looms above, ready to%s","מרחפת מעל,מוכנה למחוק%s"
0x16156,14,,,destroy Earth!,את כדור הארץ!
0x16165,19,,,TO BE CONTINUED....,המשך יבוא....
0x16179,15,,,SCORE:,ניקוד:
0x16189,24,,0x0A,CONGRATULATIONS!%s,מזל טוב!%s
0x161A2,13,,,You got ,קיבלת 
0x161B0,26,,0x0A 0x0A 0x0A,place!%s%s%sEnter your name:,מקום!%s%s%sהכנס את שמך:
0x161CB,13,,,Keens Left,קינים נותרו
0x161D9,12,8,0x0A,New Game%s,חדש%s
0x161E6,17,8,0x0A,Continue Game%s,המשך%s
0x161F8,9,8,0x0A,Story%s,הרקע%s
0x16202,15,8,0x0A,About ID...%s,אודות%s
0x16212,15,8,0x0A,High Scores%s,השגים%s
0x16222,17,8,0x0A,Ordering Info%s,לרכישה%s
0x16234,13,8,0x0A,Previews!%s,קדימון%s
0x16242,17,8,0x0A 0x0A,Restart Demo%s%s,דמו%s%s
0x16254,8,,,Use the ,בחצים
0x1625D,6,,,arrows,השתמש
0x16264,5,,,mouse,בעכבר
0x1626A,8,,,joystick,בגויסטיק
0x1628D,35,,0x0A,We are a group of Software Artists%s,אנו קבוצת אמני תוכנה%s
0x162B1,34,,0x0A,whose goal is to bring commercial%s,ששואפים להביא תוכנה מסחרית%s
0x162D4,31,,0x0A,quality software to the public%s,תוכנה איכותית לציבור%s
0x162F4,22,,0x0A 0x0A,at shareware prices.%s%s,במחיר עממי.%s%s
0x1630B,33,,0x0A,Our effort is only possible with%s,מאמצינו אפשריים רק עם%s
0x1632D,36,,0x0A,"your support. Without it, we cannot%s","תמיכתכם. בלעדיה, איננו יכולים%s"
0x16352,27,,0x0A,continue to make this fine%s,להמשיך ליצור תוכנה איכותית%s
0x1636E,25,,0x0A 0x0A,software so affordable.%s%s,תוכנה כל כך משתלמת.%s%s
0x16388,30,,0x0A,Thank you in advance for your%s,תודה מראש על%s
0x163A7,34,,0x0A,contribution to the future of the%s,תרומתכם לעתיד של%s
0x163CA,25,,,growing shareware market.,השוק העממי המתפתח.
0x163E4,22,,0x0A,You can SAVE the game%s,ניתן לשמור את המשחק%s
0x163FB,23,,0x0A,ONLY on the World Map!%s,רק במפת העולם!%s
0x16413,16,,,press a key:,לחץ על מקש:
0x16424,20,,0x0A,Which game position%s,על איזה חריץ%s
0x16439,21,,0x0A,do you want to save?%s,אתה רוצה לשמור?%s
0x1644F,15,,,1-9 or ESC:,1-9 או CSE:
0x1645F,19,,0x0A,That game position%s,חריץ המשחק הזה%s
0x16473,16,,0x0A,already exists!%s,כבר קיים!%s
0x16484,14,,,Overwrite it?:,לדרוס אותו?:
0x16493,27,,0x0A,You can continue this game%s,אתה יכול להמשיך את המשחק%s
0x164AF,29,,0x0A,from the Main Menu next time%s,בפעם הבאה מתפריט הראשי%s
0x164CD,22,,,you play. Press a key:,שאתה משחק. לחץ על מקש:
0x164E4,23,,0x0A,Continue Which Game?%s,איזה משחק להמשיך?%s
0x164FC,18,,,1-9 or ESC:,1-9 או CSE:
0x1650F,19,,0x0A,That game hasn't%s,המשחק הזה לא%s
0x16523,18,,,been saved yet!:,נשמר עדיין!:
0x16536,26,,0x0A,That file is incompatible%s,הקובץ הזה אינו תואם%s
0x16551,23,,,with this verion of CK:,איזה גרסה של קין:
0x16569,38,,0x0F 0x13,ESC to Exit / %s %s to Read      ,%s%s  CSE לצאת
0x16590,25,,0x0A,Commander Keen: Invasion%s,המפקד קין: הפלישה%s
0x165AA,26,,0x0A,of the Vorticons consists%s,של הוורטיקונים מורכב%s
0x165C5,23,,0x0A,of three unique and%s,משלושה פרקים ייחודיים%s
0x165F7,26,,0x0A,1. Marooned on Mars   $15%s,1. נתקע על מאדים   $15%s
0x16612,26,,0x0A,2. The Earth Explodes $15%s,2. כדור הארץ מתפוצץ $15%s
0x16672,38,,0x0A,"  * The ""Secret Hints & Tricks"" sheet%s","  * דף ""רמזים וטריקים סודיים""%s"
0x16699,38,,0x0A,"  * The special ""cheat mode"" password%s",סיסמא למוד הרמאות המיוחד%s
0x166C0,36,,0x0A,* The latest version of each game%s,* הגרסה האחרונה של כל משחק%s
0x166E5,31,,0x0A 0x0A,* SEVERAL FREE BONUS GAMES!%s%s,* מספר משחקי בונוס חינמיים!%s%s
0x16705,39,,0x0A,Mail orders to:%s,שלח הזמנות ל:%s
0x1672D,39,,0x0A,(U.S. funds only       Apogee Software%s,(U.S. FUNDS ONLY       APOGEE SOFTWARE%s
0x16755,39,,0x0A,checks or M/O's        P.O. Box 476389%s,CHECKS OR M/O'S        P.O. BOX 476389%s
0x167A8,46,,0x0A,Or order toll free: 1-800-852-5659    %s,או הזמנה חינם: 1-800-852-5659    %s
0x167D7,38,,0x0A 0x0A 0x0A 0x0A 0x0A 0x0A,Your ship is missing%sthese parts:%s%s%s%s%s,הספינה שלך חסרה את החלקים הבאים:%s%s%s%s%s
